,text,textlength,moral_score,moral_wc,immoral_wc,other_wc,goodness,happiness,sadness,anger,afraid,disgust,surprise,positive_prob,sub_probs
47,"&quot;If the dog that caused the accident was led by a leash when going out and was supervised by its owner, it would not be able to hurt the child in any way.&quot; Is it true that &quot;it can&#39;t be hurt in any way&quot;? Civilization cannot rely on self-consciousness, but on severe punishment.",33,-0.7272425867337768,0,1,37,1,0,0,1,0,4,0,93.2919,"[0.5209487263374977, 0.3104160936911723, 0.8909627287410111, 0.8546160509852151, 0.4737672181921908]"
48,"There are too many uncontrolled dogs, which have become so common that they affect everyone’s travel safety. They are all caused by irresponsible dog owners. It is part of the nature of wild dogs to bite people, and passers-by should not be allowed to do anything to those who abandon them. The owner of the dog pays the bill.",36,-0.4285963049190987,0,1,36,1,1,2,0,0,1,0,73.4208,"[0.33467916715078316, 0.8659759112851223, 0.2526020617124626, 0.9152179503390082, 0.2617587574823832]"
49,"The annual fee for dog registration and implementation of responsibility is 2-10,000, and an annual health review is conducted every year. Wouldn&#39;t that be great?",18,0.0,0,0,20,1,0,0,0,0,0,0,13.7585,"[0.07163778122618836, 0.717340910448104, 0.5012634494003297]"
50,"If there are no dogs in the city, there will be no harm. It is uncivilized to keep dogs, and it is not civilized to keep dogs.",10,-6.492446909757001,0,1,8,0,0,1,0,0,0,0,99.2499,"[0.8722768807417837, 0.8365156464662131, 0.8236823728548299]"
51,"Stray and off-leash dog bites are a human problem... but in the end, dogs bear most of the blame!",18,0.31893408327434397,1,0,18,0,0,0,0,0,0,0,84.0219,[0.8402193155650034]
52,Dog fans: woof woof woof,3,-11.861647899011997,0,1,3,0,0,0,0,0,0,0,39.649,[0.3964903656113875]
53,How many people would take the initiative to attack a dog if it didn&#39;t provoke or scare them?,10,-5.285220576484398,0,1,8,0,0,0,0,0,0,0,66.52,[0.6652002510037678]
54,One word hits the mark,2,0.0,0,0,2,0,0,0,0,0,0,0,45.4628,[0.4546280053948585]
55,It should be set up to be downloaded locally and widely disseminated,7,0.0,0,0,8,1,0,0,0,0,0,0,87.0225,"[0.1911832277411133, 0.9692406970777865]"
56,aweason,5,0.0,0,0,5,0,0,0,0,0,0,0,34.1462,[0.3414616905584946]
57,well said!,3,0.0,0,0,4,0,0,0,0,0,0,0,52.3561,[0.523560877286025]
58,"If you want to follow this, the blogger himself or repost it?",7,0.0,0,0,9,0,0,0,0,0,0,0,83.7475,"[0.8293318283534602, 0.5408315703506412]"
59,Transparent!,1,0.0,0,0,2,0,0,0,0,0,0,0,38.2062,[0.38206232521897543]
60,My ability is limited and I only adopted one. But I still have a little bit more ability to scold dog lovers.,16,-1.9776158683999807,1,1,16,0,1,0,0,0,1,0,99.0117,"[0.7856609738518143, 0.7019308052481671, 0.9347232595294037]"
61,Is the aunt in the video you?,8,0.0,0,0,9,0,0,0,0,0,0,0,17.3576,[0.17357559579357518]
62,"At that time, if they remained silent and did not treat victims of cyberbullying or dog beaters, they would have a conscience.",13,-0.5156125091243882,0,0,12,0,0,0,0,0,0,0,93.4423,[0.9344234424545141]
63,"#全民 appeals for dog slaves and dogs to be equally guilty, and resolutely hunt down stray cats and dogs# It is incredible that the country cannot control dog slaves and dogs.",19,-1.3823514003117192,0,1,20,1,0,0,0,0,0,1,92.4421,"[0.8537271662013148, 0.69949244407048]"
64,Bite or bite to death,3,-27.216552697590824,0,1,2,0,0,0,0,0,0,0,14.2121,[0.1421212071711666]
65,"If it is a real stray dog, it should also be compassionate and reasonable. Dogs are inherently rational, but they became stray dogs due to bad reincarnation. Stray dogs also have life.",22,0.6110573899836728,1,0,23,2,0,0,0,0,1,0,99.9997,"[0.9478112513359778, 0.8381018622855901, 0.8615739231291892, 0.8661231065587199, 0.9920583312909981]"
66,Which stray dog is not abandoned by a dog lover?,7,-3.135641438335216,0,0,6,0,0,0,0,0,1,0,98.3444,[0.9834439962962698]
67,Beautiful woman said it well,4,0.0,0,0,4,1,0,0,0,0,0,0,47.2837,[0.4728369498611039]
68,"Adoption instead of trading refers to the adoption of existing stray dogs that cannot be properly accommodated. It is not the adoption of new &quot;commercial dogs&quot; bred through pet trading. The adoption package implements the &quot;ban on pet dog trading&quot;. Together, these two policies are called The purpose of &quot;adoption instead of buying and selling&quot; is to digest the stock and restrain the increase. The basic concepts are unclear. Are you really confused, or are you confusing things and leading others to follow the &quot;adoption instead of sale&quot; policy in a confused way?",52,0.912936154035798,4,1,50,1,0,0,0,0,4,0,99.9969,"[0.9950311702224084, 0.6959183974297651, 0.4142248102570353, 0.49241058921600667, 0.5294947133879224, 0.9046390329027555, 0.41868568501062997, 0.6637761593609819, 0.903532853165001]"
69,"There is no way for misfortunes and blessings, but people call it upon themselves. Increasing merit and deeds will eliminate disasters: Weak body, gentle nature, be gentle in behavior, courteous in movement and stillness, humble in speech, do not argue about right and wrong, live in poverty without complaining, do not judge others, blame yourself for disasters and illnesses, give without expecting retribution, be calm, etc., have a calm mind and a calm mind. , do not remember old evils, respect the elderly, cultivate filial piety internally, be tranquil and relaxed, respect heaven and earth, be kind and humble, love life and evil, be compassionate and considerate, and other hundred medicines, there will be no cruelty outside, no illness and pain inside, happiness, longevity and health .",53,0.7040734202617903,5,2,47,6,5,2,0,0,3,0,99.964,"[0.300175814784306, 0.4737672181921908, 0.9122188940527641, 0.523409627708693, 0.3029549209126572, 0.5506441826940219, 0.5398316643394704, 0.4737672181921908, 0.2882619343218621, 0.4737672181921908, 0.2273194139376974, 0.5637694292803593, 0.4737672181921908, 0.4177339567833266, 0.2608549110681333, 0.7287708602630596, 0.8387684020846585, 0.7537563845952006, 0.6429335818357289, 0.6673283286403587, 0.9984607077152325, 0.3635841542190308, 0.7195522921648766, 0.7297953905324696]"
70,"We are responsible for ourselves, others cannot be responsible for us. Humans are the spirit of all things. When we look at everything gently, our nature will naturally be revealed, and other animals will respect us and be friendly to us. If we are arrogant, greedy, strong and brave, our nature is covered up, making animals afraid when they see us. When we get close, we are afraid of being hurt and attack people. If you are injured by an animal, you can deal with the animal in question, but do not anger other animals.",48,1.2589988321093721,4,4,42,7,1,1,0,2,3,0,100.0,"[0.46153846153846145, 0.4628798170613446, 0.979756786631033, 0.7826653358894131, 0.8880021086184849, 0.5547700498680705, 0.7356426357181732, 0.9804655604489467, 0.9264932665174829, 0.8120808904833848, 0.912689904639051, 0.92991100252875, 0.5455370938053228, 0.7519402092381752]"
71,"If you don’t restrain yourself not to create problems, and if you don’t take the initiative to solve the problems you create, you have to ask society to tolerate problems. This is their true face.",18,-2.2209290750663966,0,1,17,2,1,0,0,0,2,0,98.6306,"[0.8966955614336023, 0.6636947325786772, 0.6717588327939324, 0.7379099644649892]"
72,More comprehensive.,3,0.0,0,0,4,1,0,0,0,0,0,0,52.6233,[0.5262327818078083]
73,"That German Shepherd was actually handled quite reasonably, but it couldn&#39;t stand up to the rumors.",11,-2.587117719910238,0,1,12,2,0,0,0,0,1,0,97.593,"[0.9193384095862123, 0.7980361172915368]"
74,"I wish the little girl a speedy recovery, support seeking compensation from the dog owner, and support holding those who raped and spread rumors against the girl’s family accountable.",19,2.924873689475773,3,2,16,2,0,0,0,0,3,0,82.6679,"[0.6769640447775728, 0.28175696341812073, 0.8774210616385574]"
75,That makes sense,6,0.0,0,0,6,0,0,0,0,0,0,0,45.4229,[0.45422872323915153]
76,Yes,3,0.0,0,0,3,0,0,0,0,0,0,0,39.0414,[0.39041446358519516]
77,you&#39;re right,4,0.0,0,0,4,0,0,0,0,0,0,0,39.0414,[0.39041446358519516]
78,This is a good way to handle the problem,5,0.0,0,0,5,0,0,0,0,0,0,0,77.9523,[0.7795229979671993]
79,"Look at the problem in two, the child’s health is the most important",8,0.0,0,0,9,2,0,0,0,0,0,0,97.433,"[0.7826653358894131, 0.9317568943397118]"
80,What a tragedy,3,0.0,0,0,3,0,0,1,0,0,0,0,77.3801,[0.7738012304661284]
81,All returned,2,0.0,0,0,2,0,0,0,0,0,0,0,16.6667,[0.16666666666666674]
82,"Oh, poor girl, please get well soon.",6,0.0,0,0,6,0,0,0,0,0,0,0,20.0322,[0.20032231629991815]
83,That makes sense,5,0.0,0,0,5,0,0,0,0,0,0,0,60.6919,[0.6069187011842971]
84,Poor baby,3,0.0,0,0,3,0,0,0,0,0,0,0,77.7909,[0.7779089868560713]
85,Pretty good too,2,0.0,0,0,2,0,0,0,0,0,0,0,82.8425,[0.8284246220999102]
86,Good evening,2,0.0,0,0,2,0,0,0,0,0,0,0,52.9099,[0.5290993440072992]
87,I dreamed of a flower seller saying to me with nothing in his hands: Only when people feel happy can they see roses.,16,0.0,0,0,17,1,1,1,0,0,0,0,61.2123,[0.6121225769693662]
88,"People will criticize you as soon as you ask for donations, so don’t ask for donations unless you absolutely have to.",12,-3.9671381002932926,1,1,9,0,0,1,0,0,1,0,15.9068,"[0.8432035858210106, 0.03760052370536404]"
89,Hurry up and file a claim with the dog owner.,6,8.111527545036434,1,0,5,0,0,0,0,1,0,0,62.058,[0.6205795265859992]
90,"I&#39;m afraid that the dog owner will not pay compensation, saying that he has no money. It&#39;s not like there are no such cases.",19,-1.6535205278695195,0,0,17,0,0,0,0,0,1,0,0.0492,"[0.006576174191308071, 0.10820920185325489, 0.4307371722251767]"
91,"Netizens like fresh and exciting ideas. They will jump on whichever point of view is fresher and more bizarre. So just take a look and do what they do, and the more you do, the more mistakes you make.",21,0.0,0,0,23,3,0,0,0,0,2,0,99.5374,"[0.8036191984733746, 0.8292058892375057, 0.538544282385679, 0.6558628208940429, 0.6116015132408574, 0.8394488367045112]"
92,"I am still thinking today, if there is an opportunity to raise more money, ordinary people may not be able to resist the temptation. No matter what, they will bear the disaster. Whether it is forced or conscience finds it, returning it is a kind of psychological relief. Children, grow up well. big",42,0.07058641236009552,2,1,40,0,1,1,0,0,2,0,97.0589,"[0.5922015819072117, 0.4253462380659965, 0.20533054235520576, 0.5262327818078083, 0.9674053486811354, 0.36659547355000455, 0.92122909434977]"
93,Return to donor? How to withdraw?,5,2.1865694723974056,1,0,5,0,0,0,0,0,0,0,3.1734,"[0.12909569744184668, 0.19716646989374265]"
94,I did donate a lot,4,19.97928726365195,1,0,3,1,0,0,0,0,0,0,88.9714,[0.8897135046933548]
95,"Good night, sweet dreams",3,0.0,0,0,3,0,0,0,0,0,0,0,86.1022,[0.8610220956268927]
96,I hope the child will recover soon,4,0.0,0,0,4,1,0,0,0,0,0,0,60.9216,[0.6092164500062116]
97,"# man spent 1,000 yuan to rent a crane to rescue a trapped stray cat# Therefore, not everyone can raise a dog.",18,-1.0171890689807113,1,0,19,0,0,0,0,0,1,0,94.6851,"[0.9186701973596113, 0.6366041705713876]"
98,"What you said on Weibo before was not so rational. You just said that celebrities speaking out for stray dogs were incomprehensible. You looked like humans are superior! If you had said this earlier, no one would have attacked you.",31,-0.21786683428902023,0,0,31,2,0,0,0,0,3,0,99.9697,"[0.7597000527811659, 0.8776263468906086, 0.9496925198838982, 0.9135384205918281]"
99,"I have observed a lot of scolding accounts, and they are basically trolls. Don&#39;t worry, normal people wouldn&#39;t do that.",18,-1.6703983856753528,0,1,17,0,0,0,0,0,1,0,45.8384,"[0.40971867149172125, 0.6123366932619358, 0.589403973509934, 0.42426555799452137]"
100,Don’t take it too seriously. Most of the extreme comments are made by trolls and robots.,10,-3.0593257849089515,0,1,9,0,0,0,0,0,0,0,36.7382,"[0.40381393916623787, 0.5151646933085191, 0.525113168663767, 0.5]"
101,"To put it bluntly, many IDs are fed by others with the purpose of causing war.",12,0.0,0,0,13,0,0,0,0,0,0,0,87.6085,"[0.7886294631031916, 0.6779168391827481]"
102,It&#39;s useless for you to reason with them. They eat people&#39;s food and talk nonsense. Dogs are their zu zong.,15,0.3315255568498603,1,0,13,0,0,0,0,0,1,0,30.1517,[0.3015173794876108]
103,Many people are too extreme,6,-12.874752938208045,0,1,5,0,0,0,0,0,0,0,61.0389,[0.6103894578579626]
104,"You are very patient. Most mothers are very patient. However, when it comes to these so-called dog lovers, your explanation is just an explanation to your true fans. For those people, most of them won&#39;t listen. Don&#39;t pay attention to them. Just report them and block them.",41,-0.4236087106166233,0,0,41,2,0,0,0,0,0,0,56.4103,"[0.8312972673061418, 0.8000612309596946, 0.5262327818078083, 0.9099398527399363, 0.23266381049349294, 0.7298286401259612, 0.5702515177797052, 0.1714384515404921, 0.09090909090909094, 0.4009219046860061]"
105,I also saw a person caring about what to do with the biting dog. It was so weird.,15,3.6325386379156392,1,0,14,0,0,0,0,0,0,0,73.5346,[0.735346158738172]
106,"Very well said, very right",5,0.0,0,0,6,0,0,0,0,0,0,0,79.0885,"[0.6709071583591779, 0.6732684101105153]"
107,"Support tiger moms, that’s great.",7,3.5594991930726123,1,0,7,1,0,0,0,0,0,0,41.3697,"[0.6018335324800809, 0.3414616905584946]"
108,I can&#39;t talk to you calmly. I&#39;m just trying to provoke a fight.,8,-2.6436533130373485,0,0,8,0,1,0,0,0,0,0,85.1383,"[0.4669464206377236, 0.8789923076668225]"
109,"Support bloggers, there are still more normal people in China",8,8.100705715918297,1,0,8,1,0,0,0,0,0,0,85.3922,"[0.6696764999544343, 0.762059089906524]"
110,"A few words from others: &quot;You are...&quot;, &quot;In the final analysis...&quot;, &quot;I am...&quot;. No matter how much you explain, it&#39;s useless. People don&#39;t want to hear your explanation, so they can just vent themselves. For example, when I gave a speech once, a patient left a message, &quot;You just criticize, slander and insult others...&quot; &quot;You are just sour...&quot; Haha, patients all have the same words.",34,0.22052260484512895,1,2,36,0,1,0,0,0,2,0,0.0731,"[0.4938207832643682, 0.08082079750062154, 0.19832774021323973, 0.7297953905324696, 0.44655748093210856, 0.06475129395019452, 0.46164521214528564]"
111,"Very well said, I agree.",5,0.0,0,0,6,0,0,0,0,0,0,0,55.7358,"[0.523560877286025, 0.56]"
112,"Hey, it’s really hard to do",5,0.0,0,0,5,0,0,0,0,0,0,0,43.5139,[0.4351387157284945]
113,"Liu Yase rescued 2,000 stray dogs in Hengyang. Just open your mouth and come. Do you want to see me?",15,2.916666666666667,1,0,15,1,0,0,0,0,0,0,99.975,"[0.9999087467924336, 0.2883928661326973]"
114,"Hello, the &quot;stray dog&quot; you are interested in has opened a Chaohua community~ Chaohua community is an interest-based interactive community under Weibo. Come and communicate with like-minded friends! Click me to enter &gt;&gt; Stray Dog",27,0.0,0,0,33,4,0,0,0,0,0,0,99.9996,"[0.5312500000000001, 0.9983184788979652, 0.9689432005033244, 0.9363883294999784]"
115,I was bitten twice and said I was really scared.,10,0.0,0,0,10,0,0,0,0,0,0,0,33.3731,[0.33373071382013797]
116,"Damn it, you don’t have contact with dog owners, your values don’t match.",9,-2.1872639080601215,0,0,10,0,0,0,0,0,1,0,33.3276,"[0.5, 0.6680564310721122, 0.2345567694597257]"
117,"Speak up for life, speak up for justice, and please love the bitten children and innocent passers-by instead of just focusing on one party. Please also speak up to regulate the behavior of dog owners and dog lovers, so that they can be qualified owners. member",31,0.8490832968542041,2,0,29,3,0,1,0,0,1,0,95.0273,"[0.8730688979116404, 0.5455370938053228, 0.3659254647815837, 0.5548254998071532, 0.44303560710193157, 0.9169101100787538, 0.407735081766203]"
118,Hate Teddy the most,3,0.0,0,0,3,0,0,0,0,0,1,0,77.1255,[0.7712545200570824]
119,"I understand, but how will they be dealt with?",9,0.0,0,0,10,0,0,0,0,0,0,0,55.0733,"[0.5230352303523035, 0.5539033457249072]"
120,"Suddenly I found a typo, forget it, I can’t change it without a membership.",11,-1.81158643428457,0,0,11,0,0,0,0,0,1,0,7.6775,"[0.4514024666065545, 0.5765702187720536, 0.23040031164954866, 0.2535900923416914]"
121,Don&#39;t worry too much about it. I&#39;ll be responsible for you when you get bitten.,12,1.3031318338063984,1,0,11,1,0,0,0,0,1,0,16.3788,"[0.29720635923303074, 0.40000000000000013, 0.46153846153846145]"
122,You understand silver!,4,0.0,0,0,5,0,0,0,0,0,0,0,87.499,[0.8749898636015243]
123,"Yes, in fact, more than 90% of those who bite people are domestic dogs, but people dare not say it because they are afraid of being attacked by the dog owner, so they vent their anger on stray dogs. The stray dogs I see in the city are all very afraid of people, and will try their best to please people. Only domestic dogs are vicious and vicious (my dog is very vicious, so I never let it get close to people).",47,-0.41924022038111647,1,2,47,1,0,0,1,0,4,0,97.6557,"[0.5262327818078083, 0.6770880069856146, 0.141096084822652, 0.397058823529412, 0.9150455515892373, 0.8866574140830538, 0.9466992839364213, 0.330636320470041, 0.12334625147615752, 0.8035585749221668]"
124,"Hello, the &quot;dog lover&quot; you are interested in has opened the Chaohua Community ~ Chaohua Community is an interest-based interactive community under Weibo. Come and interact with like-minded friends! Click me to enter &gt;&gt; Dog lovers",26,0.0,0,0,32,4,0,0,0,0,0,0,99.9961,"[0.5312500000000001, 0.9950276482305621, 0.9689432005033244, 0.8322610682155602]"
